episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,intrinsic,130000,200,-200.0,6.5486621940508485,0.009838319383561611,0.029829371720552444,0.0714450553059578,-0.4694014684900574
1,intrinsic,130001,200,-200.0,11.2959577688016,0.0020182724110782146,0.04650804400444031,0.18636225163936615,-0.27636204693701166
2,intrinsic,130002,200,-200.0,9.809250625781715,0.0029176101088523865,0.04429028183221817,0.1516590267419815,-0.36406890650421014
3,intrinsic,130003,200,-200.0,13.633628838695586,0.010326406918466091,0.06322342157363892,0.12120091915130615,-0.4698935883878245
4,intrinsic,130004,200,-200.0,8.156108089024201,0.002969500608742237,0.007017608731985092,0.1930120885372162,-0.38211991918571536
5,intrinsic,130005,200,-200.0,14.072142333257943,0.0024346879217773676,0.02623994369059801,0.22977441549301147,-0.37179134220055055
6,intrinsic,130006,200,-200.0,15.049980245297775,0.0033913427032530308,0.05125831440091133,0.2016574740409851,-0.27854360837788344
7,intrinsic,130007,200,-200.0,12.358799687121063,0.0033371089957654476,0.05234799347817898,0.14213834702968597,-0.30583935951498586
8,intrinsic,130008,200,-200.0,14.559176404029131,0.02729853242635727,0.0729144960641861,0.10757708549499512,-0.5816700170375108
9,intrinsic,130009,200,-200.0,13.31474268459715,0.0022277121897786856,0.04250672087073326,0.19055859744548798,-0.3621075036164631
10,intrinsic,130010,200,-200.0,16.157317767851055,0.010994479060173035,0.073972687125206,0.15454040467739105,-0.4664401074873116
11,intrinsic,130011,200,-200.0,12.604869700968266,0.02114306576550007,0.061818867921829224,0.09331024438142776,-0.5755727497643052
12,intrinsic,130012,200,-200.0,14.627727191778831,0.0005912477499805391,0.03879354149103165,0.2585776746273041,-0.15656012093452062
13,intrinsic,130013,200,-200.0,12.161720434203744,0.016259901225566864,0.0601461473852396,0.10509820282459259,-0.542562284930305
14,intrinsic,130014,200,-200.0,11.051613653078675,0.02043725736439228,0.054295025765895844,0.08417290449142456,-0.57876200863581
15,intrinsic,130015,200,-200.0,10.885253014042974,0.029475195333361626,0.05500210262835026,0.08010441809892654,-0.5869030778636923
16,intrinsic,130016,200,-200.0,13.563155282230582,0.0003439931897446513,0.027702659368515015,0.22874726355075836,-0.20194688233725538
17,intrinsic,130017,200,-200.0,10.577963157731574,0.000318079546559602,0.03730609454214573,0.1445268839597702,-0.34161597703701246
18,intrinsic,130018,200,-200.0,10.217562152072787,0.01873454824090004,0.05084637925028801,0.07874102890491486,-0.5645086383218701
19,intrinsic,130019,200,-200.0,9.95425109937787,0.023911360651254654,0.049864063039422035,0.07898963987827301,-0.5664478496029144
20,intrinsic,130020,200,-200.0,18.575524791202042,0.00023938878439366817,0.06699435412883759,0.35953113436698914,0.22738291649882952
21,intrinsic,130021,200,-200.0,7.016850107698701,0.001031892141327262,0.03262980654835701,0.07480616122484207,-0.3241963836102748
22,intrinsic,130022,200,-200.0,8.685150673612952,0.02318684570491314,0.04275372810661793,0.06665237993001938,-0.5854137132807699
23,intrinsic,130023,200,-200.0,16.915214363049017,0.0004667862958740443,0.044570546597242355,0.31330713629722595,0.2289190325913097
24,intrinsic,130024,200,-200.0,9.229779670553398,0.0002004121633945033,0.040229715406894684,0.13764271140098572,-0.02039831874583904
25,intrinsic,130025,200,-200.0,17.152818396309158,0.0002652490511536598,0.05912184156477451,0.3295244574546814,0.2595217797770718
26,intrinsic,130026,200,-200.0,16.29506575340929,0.00023973551287781447,0.052671296522021294,0.3241747319698334,0.2432254232035301
27,intrinsic,130027,200,-200.0,5.610625297471415,0.0005597082199528813,0.02313373889774084,0.059143681079149246,-0.2712562207742183
28,intrinsic,130028,200,-200.0,6.112745939230081,0.0004453831643331796,0.020309090614318848,0.08056870102882385,-0.3299226961094952
29,intrinsic,130029,200,-200.0,10.320002094726078,0.000557812163606286,0.028872212395071983,0.1853436827659607,0.21093298641690678
