episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,extrinsic,1124000,200,-200.0,34.897506676614285,0.0950559750199318,0.1658448651432991,0.2986799478530884,-0.37289306929771154
1,extrinsic,1124001,200,-200.0,35.632932886481285,0.07487806677818298,0.16970903426408768,0.2884507179260254,-0.28354019818059983
2,extrinsic,1124002,200,-200.0,33.122575119137764,0.05248827859759331,0.16078083217144012,0.3013623058795929,-0.16588219544626087
3,extrinsic,1124003,200,-200.0,38.080209858715534,0.0867365375161171,0.1689717248082161,0.34846970438957214,-0.37042424040000743
4,extrinsic,1124004,200,-200.0,31.975707985460758,0.05270884186029434,0.16002564132213593,0.28560006618499756,-0.1787683647880399
5,extrinsic,1124005,200,-200.0,35.00114797800779,0.08451363444328308,0.16203194856643677,0.3230896592140198,-0.32133765257054925
6,extrinsic,1124006,200,-200.0,33.03937903791666,0.09593465924263,0.16439076513051987,0.258805513381958,-0.3500150076903079
7,extrinsic,1124007,200,-200.0,29.692900761961937,0.06573092192411423,0.13952109962701797,0.24259036779403687,-0.2573951555762634
8,extrinsic,1124008,200,-200.0,30.53397538512945,0.06549195200204849,0.162442184984684,0.2522031366825104,-0.2576439377983391
9,extrinsic,1124009,200,-200.0,34.12221842631698,0.05760801210999489,0.17666906118392944,0.2588527500629425,-0.23008228640883305
10,extrinsic,1124010,200,-200.0,29.607356891036034,0.0880134180188179,0.14757952839136124,0.2147577553987503,-0.35764816417128964
11,extrinsic,1124011,200,-200.0,30.627824150025845,0.09070796519517899,0.14433783292770386,0.2459542453289032,-0.3900951165845691
12,extrinsic,1124012,200,-200.0,25.462415263056755,0.06787392497062683,0.12603850662708282,0.20543761551380157,-0.29177300426388525
13,extrinsic,1124013,200,-200.0,25.76726533472538,0.08041113615036011,0.1316816583275795,0.20471666753292084,-0.34187416941134136
14,extrinsic,1124014,200,-200.0,26.67434737831354,0.04726090654730797,0.13960367441177368,0.20898547768592834,-0.2100573583790226
15,extrinsic,1124015,200,-200.0,23.567907124757767,0.0654681921005249,0.11507915705442429,0.16278612613677979,-0.2917711421418299
16,extrinsic,1124016,200,-200.0,22.518847968429327,0.0499756820499897,0.11320585012435913,0.20605053007602692,-0.2384723058996531
17,extrinsic,1124017,200,-200.0,23.347375497221947,0.0761333480477333,0.11557392030954361,0.16778509318828583,-0.347707188446512
18,extrinsic,1124018,200,-200.0,22.749487694352865,0.05540364980697632,0.11235492676496506,0.16558711230754852,-0.32254388733635797
19,extrinsic,1124019,200,-200.0,22.49540688842535,0.062482692301273346,0.1061360239982605,0.19692672789096832,-0.30042689507039416
20,extrinsic,1124020,200,-200.0,21.80036550760269,0.06978300213813782,0.10775719210505486,0.161895290017128,-0.3997923118897185
21,extrinsic,1124021,200,-200.0,19.81421108543873,0.06546010076999664,0.09553879499435425,0.14840303361415863,-0.35043609293838174
22,extrinsic,1124022,200,-200.0,19.96228152886033,0.05304725468158722,0.09669676050543785,0.16986083984375,-0.29015658432184704
23,extrinsic,1124023,200,-200.0,18.770402934402227,0.05720214545726776,0.08858564123511314,0.1388619989156723,-0.32760569932398215
24,extrinsic,1124024,200,-200.0,19.597783993929625,0.04799563065171242,0.09806112945079803,0.15595106780529022,-0.29170552294152
25,extrinsic,1124025,200,-200.0,17.04289586469531,0.04723220691084862,0.0836736150085926,0.1277858465909958,-0.310415991595255
26,extrinsic,1124026,200,-200.0,18.843660954385996,0.04088063910603523,0.08789096772670746,0.17290398478507996,-0.2616819786478059
27,extrinsic,1124027,200,-200.0,16.67560575157404,0.03868396580219269,0.08054058998823166,0.1492660492658615,-0.25739317702529924
28,extrinsic,1124028,200,-200.0,16.38177305087447,0.040969714522361755,0.07893456518650055,0.13978025317192078,-0.2860842167582091
29,extrinsic,1124029,200,-200.0,16.564498618245125,0.024748176336288452,0.06682045757770538,0.20361317694187164,-0.16748114222513183
30,extrinsic,1124030,200,-200.0,16.33711204305291,0.03592498600482941,0.07011805847287178,0.16602815687656403,-0.26256431223021465
31,extrinsic,1124031,200,-200.0,15.746263576671481,0.017619580030441284,0.06261643953621387,0.19532303512096405,-0.031699411689696005
32,extrinsic,1124032,200,-200.0,13.474506933242083,0.029141223058104515,0.059122731909155846,0.13455256819725037,-0.2294795478516812
33,extrinsic,1124033,200,-200.0,13.11935519054532,0.03893457353115082,0.06017855554819107,0.11292881518602371,-0.310663167802693
34,extrinsic,1124034,200,-200.0,12.831045225262642,0.032403938472270966,0.060618020594120026,0.12855398654937744,-0.2687298460671898
35,extrinsic,1124035,200,-200.0,13.627416089177132,0.02735779993236065,0.06355196610093117,0.15696297585964203,-0.24954270263515543
36,extrinsic,1124036,200,-200.0,13.728292504325509,0.017766088247299194,0.05431126430630684,0.16340956091880798,-0.149025197398046
37,extrinsic,1124037,200,-200.0,11.131928266957402,0.028188582509756088,0.052287785336375237,0.09203296899795532,-0.2739673867592044
38,extrinsic,1124038,200,-200.0,10.959439069032669,0.02873804047703743,0.051245687529444695,0.11985249072313309,-0.285696145614991
39,extrinsic,1124039,200,-200.0,14.39159838296473,0.015668589621782303,0.06259882636368275,0.18687264621257782,-0.17280285989459068
40,extrinsic,1124040,200,-200.0,10.06825134716928,0.030128618702292442,0.04767691157758236,0.08445465564727783,-0.31021846339139947
