episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,intrinsic,136000,200,-200.0,16.389409048017114,0.007749436888843775,0.07432938367128372,0.19512388110160828,-0.3044109890429193
1,intrinsic,136001,200,-200.0,14.815339051187038,0.00914609432220459,0.06709468737244606,0.15174321830272675,-0.3614884768284285
2,intrinsic,136002,200,-200.0,13.517739239148796,0.008867434225976467,0.07065638899803162,0.11095740646123886,-0.3557850218369127
3,intrinsic,136003,200,-200.0,16.46869176160544,0.010266688652336597,0.0718400813639164,0.18194997310638428,-0.3813359317268987
4,intrinsic,136004,200,-200.0,19.518998427316546,0.023782212287187576,0.10038628056645393,0.12734006345272064,-0.47468713448542027
5,intrinsic,136005,200,-200.0,20.295266326516867,0.019774055108428,0.10174546390771866,0.1371697634458542,-0.445869433595562
6,intrinsic,136006,200,-200.0,20.30981646478176,0.015356127172708511,0.1026156060397625,0.15108191967010498,-0.4227967557770731
7,intrinsic,136007,200,-200.0,19.02478640433401,0.014411046169698238,0.09435726702213287,0.14711779356002808,-0.42242252418216014
8,intrinsic,136008,200,-200.0,17.441228880546987,0.010961939580738544,0.08698476850986481,0.12320830672979355,-0.4280972022746904
9,intrinsic,136009,200,-200.0,18.070802527479827,0.012914991937577724,0.09318716824054718,0.11773483455181122,-0.4378592823125501
10,intrinsic,136010,200,-200.0,21.239717978984118,0.004658942110836506,0.10091971978545189,0.22368110716342926,-0.32261987720486945
11,intrinsic,136011,200,-200.0,18.203599659726024,0.007455687504261732,0.08686035498976707,0.1542820781469345,-0.40460868558548774
12,intrinsic,136012,200,-200.0,18.09007765352726,0.019970541819930077,0.09144743531942368,0.09937040507793427,-0.4996399733994452
13,intrinsic,136013,200,-200.0,18.34604029264301,0.011284460313618183,0.09170108661055565,0.1329064965248108,-0.4523226500349411
14,intrinsic,136014,200,-200.0,17.15074720326811,0.004404212813824415,0.0882333554327488,0.197101429104805,-0.29981875436689864
15,intrinsic,136015,200,-200.0,17.61044434644282,0.021185481920838356,0.08826133981347084,0.10346110165119171,-0.49098346647135027
16,intrinsic,136016,200,-200.0,17.52280708681792,0.006522929295897484,0.08384013548493385,0.21124814450740814,-0.3003723972693541
17,intrinsic,136017,200,-200.0,14.866930700838566,0.004759922157973051,0.0801653265953064,0.15862521529197693,-0.2806635925814895
18,intrinsic,136018,200,-200.0,17.28590494254604,0.006326895672827959,0.08506133407354355,0.12520217895507812,-0.4349952310224465
19,intrinsic,136019,200,-200.0,16.289928130805492,0.017267433926463127,0.08067028596997261,0.10706090927124023,-0.43657410499371135
20,intrinsic,136020,200,-200.0,14.8357173781842,0.009585132822394371,0.06775414198637009,0.15635214745998383,-0.3300433921995299
21,intrinsic,136021,200,-200.0,15.248127384809777,0.0032473693136125803,0.06986783444881439,0.17275279760360718,-0.29791598964409444
