episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,extrinsic,1103000,200,-200.0,41.754970744252205,0.09576895833015442,0.2054641842842102,0.32538408041000366,-0.4177321310308179
1,extrinsic,1103001,200,-200.0,45.13794481009245,0.10748278349637985,0.22437387704849243,0.3611184060573578,-0.44897581313503915
2,extrinsic,1103002,200,-200.0,44.68391217291355,0.04835332930088043,0.23706482350826263,0.3126363456249237,-0.2902587868927194
3,extrinsic,1103003,200,-200.0,43.7007123157382,0.10503608733415604,0.21616791188716888,0.3622881770133972,-0.4086000602482551
4,extrinsic,1103004,200,-200.0,39.78286276757717,0.03406132012605667,0.19518455862998962,0.45238712430000305,-0.23122647813975972
5,extrinsic,1103005,200,-200.0,39.3534203148447,0.003321210155263543,0.16540252417325974,0.6603277921676636,0.05758750574645799
6,extrinsic,1103006,200,-200.0,49.66167128831148,0.10589490830898285,0.2150220423936844,0.49264827370643616,-0.43361625259155956
7,extrinsic,1103007,200,-200.0,37.46929854899645,0.06906919926404953,0.15003925561904907,0.46093085408210754,-0.3263561604542179
8,extrinsic,1103008,200,-200.0,36.26490446180105,0.04195819050073624,0.19019503891468048,0.3204365372657776,-0.2854316683599567
9,extrinsic,1103009,200,-200.0,32.975483944639564,0.02816232666373253,0.17748382687568665,0.33142319321632385,-0.12346677351680496
10,extrinsic,1103010,200,-200.0,31.83028642833233,0.07721585035324097,0.14739565551280975,0.32094067335128784,-0.41287209620831294
11,extrinsic,1103011,200,-200.0,34.9612890034914,0.07216155529022217,0.18162400275468826,0.34550565481185913,-0.4029014472389238
12,extrinsic,1103012,200,-200.0,24.714193873107433,0.10298767685890198,0.12094826996326447,0.2150445282459259,-0.4881449770814923
13,extrinsic,1103013,200,-200.0,23.20876607298851,0.07620274275541306,0.11226757243275642,0.19306938350200653,-0.4263119538848258
14,extrinsic,1103014,200,-200.0,28.605790950357914,0.06499768048524857,0.13702508807182312,0.3072214424610138,-0.3629900881188675
15,extrinsic,1103015,200,-200.0,24.985152773559093,0.0758957490324974,0.12691568583250046,0.23615999519824982,-0.4302090298437766
16,extrinsic,1103016,200,-200.0,23.080441057682037,0.08372414112091064,0.11000324413180351,0.21225425601005554,-0.4592791312644934
17,extrinsic,1103017,200,-200.0,23.958399295806885,0.08485738188028336,0.11377102136611938,0.21999424695968628,-0.46847688594097114
18,extrinsic,1103018,200,-200.0,22.153317503631115,0.0765264630317688,0.11060227453708649,0.20547793805599213,-0.44943643124612387
19,extrinsic,1103019,200,-200.0,25.115186639130116,0.08456786721944809,0.11128420382738113,0.2286473959684372,-0.4479573506140592
20,extrinsic,1103020,200,-200.0,30.496999002993107,0.05166785046458244,0.14419866353273392,0.3518681526184082,-0.35373089614173603
21,extrinsic,1103021,200,-200.0,30.52196952700615,0.06996068358421326,0.1540791019797325,0.2675272822380066,-0.38984138542786895
22,extrinsic,1103022,200,-200.0,30.273645102977753,0.024777851998806,0.14701850712299347,0.30192849040031433,-0.27550299548096296
23,extrinsic,1103023,200,-200.0,25.825593419373035,0.0516773983836174,0.1181783564388752,0.2693755030632019,-0.3724050493622846
24,extrinsic,1103024,200,-200.0,24.674106899648905,0.04878297820687294,0.11822719499468803,0.2418055236339569,-0.3546003972346726
