episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,extrinsic,1136000,200,-200.0,15.917727142572403,0.03346928581595421,0.07441624626517296,0.14549289643764496,-0.4309749676290292
1,extrinsic,1136001,200,-200.0,15.9039053786546,0.02795850671827793,0.07595972716808319,0.14711038768291473,-0.4157366650736618
2,extrinsic,1136002,200,-200.0,15.257357290945947,0.01135008130222559,0.07495998218655586,0.1484505981206894,-0.3056675626658983
3,extrinsic,1136003,200,-200.0,20.05634537851438,0.00274138106033206,0.07021989300847054,0.4979443848133087,-0.06844544203395045
4,extrinsic,1136004,200,-200.0,19.273992499453016,0.0010901932837441564,0.06577130407094955,0.3083540201187134,0.1284848676533152
5,extrinsic,1136005,200,-200.0,17.28098905272782,0.02063762955367565,0.08454582840204239,0.2125897854566574,-0.3049975596071671
6,extrinsic,1136006,200,-200.0,15.833642608951777,0.006336415186524391,0.06157660856842995,0.21572013199329376,-0.26939211122715306
7,extrinsic,1136007,200,-200.0,15.179109314456582,0.022513119503855705,0.057858122512698174,0.16988912224769592,-0.3297829365827487
8,extrinsic,1136008,200,-200.0,12.516540419310331,0.01238130684942007,0.06076158583164215,0.1344916820526123,-0.34692977729673513
9,extrinsic,1136009,200,-200.0,11.655782667919993,0.01722378470003605,0.05241810344159603,0.13583031296730042,-0.40126597596526953
10,extrinsic,1136010,200,-200.0,12.002710135653615,0.00669511454179883,0.06503383815288544,0.11975091695785522,-0.309448554838479
11,extrinsic,1136011,200,-200.0,12.945546288276091,0.0029328956734389067,0.048243455588817596,0.18051882088184357,-0.14923820238171273
12,extrinsic,1136012,200,-200.0,11.027584449388087,0.00404007313773036,0.045671096071600914,0.13588488101959229,-0.13916136983686658
13,extrinsic,1136013,200,-200.0,9.336491329129785,0.003054714994505048,0.043378155678510666,0.12360817193984985,-0.1397931186605624
14,extrinsic,1136014,200,-200.0,9.336907217279077,0.009211871773004532,0.04386221431195736,0.11320452392101288,-0.1898564325266195
15,extrinsic,1136015,200,-200.0,10.854219664121047,0.001447746530175209,0.04503575526177883,0.23775368928909302,0.13001089095836868
16,extrinsic,1136016,200,-200.0,7.987996009644121,0.006955951917916536,0.04040370509028435,0.060807742178440094,-0.30464817552359996
17,extrinsic,1136017,200,-200.0,9.598402202827856,0.003444504691287875,0.04853563755750656,0.11508525162935257,-0.19001766047151944
18,extrinsic,1136018,200,-200.0,8.147580199409276,0.0031386211048811674,0.03808140754699707,0.09874424338340759,-0.24863450355584987
19,extrinsic,1136019,200,-200.0,7.435401195194572,0.006712753791362047,0.03745523653924465,0.05585469305515289,-0.3259728359216578
