episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,extrinsic,1142000,200,-200.0,15.061936769634485,0.033607546240091324,0.07653413340449333,0.11448545008897781,-0.4616778684705116
1,extrinsic,1142001,200,-200.0,16.044435124844313,0.016524119302630424,0.07920999825000763,0.19982142746448517,-0.35580662228006593
2,extrinsic,1142002,200,-200.0,16.661481401883066,0.010425698943436146,0.06965331733226776,0.24029402434825897,-0.25657944772854546
3,extrinsic,1142003,200,-200.0,15.119673516601324,0.012364991940557957,0.0741385892033577,0.13497580587863922,-0.32051514753424515
4,extrinsic,1142004,200,-200.0,15.307584261521697,0.012545207515358925,0.0747375376522541,0.16551509499549866,-0.18707515314795634
5,extrinsic,1142005,200,-200.0,14.58592320792377,0.013383761048316956,0.07248145714402199,0.16961769759655,-0.13440881432826682
6,extrinsic,1142006,200,-200.0,14.753252260386944,0.017522983253002167,0.06825528666377068,0.18511256575584412,-0.13190024559570668
7,extrinsic,1142007,200,-200.0,14.406844515353441,0.033151619136333466,0.06746842339634895,0.11770540475845337,-0.23518123991386908
8,extrinsic,1142008,200,-200.0,16.231259995605797,0.0067448923364281654,0.048159586265683174,0.23734644055366516,-0.21683660231870616
9,extrinsic,1142009,200,-200.0,13.24684797693044,0.008502960205078125,0.060704756528139114,0.13395057618618011,-0.2861471953985353
10,extrinsic,1142010,200,-200.0,13.976153571158648,0.015950201079249382,0.06178819015622139,0.19876348972320557,-0.2291979433775685
11,extrinsic,1142011,200,-200.0,12.94647485204041,0.01317098829895258,0.06384031474590302,0.09468702971935272,-0.39050764200144955
12,extrinsic,1142012,200,-200.0,12.98644007742405,0.035829149186611176,0.05979353375732899,0.10814300924539566,-0.40654684792352896
13,extrinsic,1142013,200,-200.0,11.728506774641573,0.013425842858850956,0.054629456251859665,0.11341793835163116,-0.08431569626229005
14,extrinsic,1142014,200,-200.0,12.57551040686667,0.02623986266553402,0.05962774530053139,0.09077918529510498,-0.4422905663434223
15,extrinsic,1142015,200,-200.0,12.285279221832752,0.01962897554039955,0.059378402307629585,0.08773599565029144,-0.4526804888706531
16,extrinsic,1142016,200,-200.0,10.915063228458166,0.019926756620407104,0.050219399854540825,0.09361758828163147,-0.41472924045718457
17,extrinsic,1142017,200,-200.0,11.748562993481755,0.026092762127518654,0.052039917558431625,0.09309541434049606,-0.41505944546833634
18,extrinsic,1142018,200,-200.0,9.992792052216828,0.005702688824385405,0.04697532579302788,0.10454467684030533,-0.32707144977099567
19,extrinsic,1142019,200,-200.0,10.10534761263989,0.0036379590164870024,0.03993082977831364,0.15907001495361328,-0.2527267108101501
20,extrinsic,1142020,200,-200.0,8.238348796963692,0.004961536731570959,0.04122821055352688,0.07319891452789307,-0.3320395111746517
21,extrinsic,1142021,200,-200.0,8.110146218445152,0.0029541233088821173,0.03698704205453396,0.091148242354393,-0.24028142464333213
22,extrinsic,1142022,200,-200.0,6.9211282236501575,0.003338274545967579,0.0348479300737381,0.06951966881752014,-0.22627701896045715
23,extrinsic,1142023,200,-200.0,6.8645024539437145,0.003404653165489435,0.032575760036706924,0.07253023236989975,-0.30734101697582067
24,extrinsic,1142024,200,-200.0,7.3822568277828395,0.0038964387495070696,0.028020369820296764,0.11321131885051727,-0.26269221164728884
25,extrinsic,1142025,200,-200.0,5.936018421547487,0.003646062919870019,0.030525385402143,0.050226084887981415,-0.34019473147477114
26,extrinsic,1142026,200,-200.0,6.083177446387708,0.002646845765411854,0.027640309184789658,0.05794113501906395,-0.27652644598539144
27,extrinsic,1142027,200,-200.0,5.517789401812479,0.003562421537935734,0.027670592069625854,0.04892139509320259,-0.34332165424080935
28,extrinsic,1142028,200,-200.0,5.051070103887469,0.004701347090303898,0.022367737255990505,0.05529870465397835,-0.3283238536478946
29,extrinsic,1142029,200,-200.0,4.975340138655156,0.0047668092884123325,0.022998451255261898,0.04631693661212921,-0.3740363670167751
30,extrinsic,1142030,200,-200.0,4.305311296368018,0.002293845172971487,0.020365058444440365,0.04343095049262047,-0.3234826953427001
31,extrinsic,1142031,200,-200.0,4.579747951822355,0.0016886903904378414,0.01938631944358349,0.06404447555541992,-0.2672124521336707
32,extrinsic,1142032,200,-200.0,3.8508210061118007,0.013704516924917698,0.018241013400256634,0.03365769609808922,-0.3661011812311085
33,extrinsic,1142033,200,-200.0,4.245590014150366,0.0022853075060993433,0.02032778225839138,0.049496933817863464,-0.3410640980347285
34,extrinsic,1142034,200,-200.0,3.5760532156564295,0.003316161222755909,0.01644802838563919,0.037357885390520096,-0.30256506871085426
35,extrinsic,1142035,200,-200.0,3.7269719501491636,0.0038734038826078176,0.018958240747451782,0.026104334741830826,-0.38047376080895035
36,extrinsic,1142036,200,-200.0,3.6238322746939957,0.0011553099611774087,0.016130142845213413,0.04304807633161545,-0.27989414783781236
37,extrinsic,1142037,200,-200.0,2.9240592159330845,0.0023237797431647778,0.014303138945251703,0.02496553584933281,-0.37314647839691567
38,extrinsic,1142038,200,-200.0,2.76082788372878,0.0011503413552418351,0.012415813747793436,0.026164749637246132,-0.3537886972697805
39,extrinsic,1142039,200,-200.0,2.9513478801818565,0.0009025388862937689,0.011924189981073141,0.03701154887676239,-0.32710550078088513
40,extrinsic,1142040,200,-200.0,4.258428027300397,0.00027557555586099625,0.013843757100403309,0.07824216783046722,-0.20446419994373158
41,extrinsic,1142041,200,-200.0,2.067676184233278,0.003057964611798525,0.010234825778752565,0.015675893053412437,-0.34596614984470897
42,extrinsic,1142042,200,-200.0,2.2553984355472494,0.0004084342217538506,0.010587030090391636,0.023044710978865623,-0.3273204457798545
43,extrinsic,1142043,200,-200.0,2.027159852150362,0.0005643292679451406,0.009651433676481247,0.018304236233234406,-0.35466821744796634
44,extrinsic,1142044,200,-200.0,2.13154152102652,0.00042983528692275286,0.00948414346203208,0.02704795077443123,-0.34843294489512644
45,extrinsic,1142045,200,-200.0,1.7760889367200434,0.0005357146728783846,0.008571660611778498,0.017411591485142708,-0.3634950951369763
46,extrinsic,1142046,200,-200.0,2.0699532036669552,0.00016214503557421267,0.008921624161303043,0.029363010078668594,-0.33088853669825896
47,extrinsic,1142047,200,-200.0,2.1912905205972493,0.0014213492395356297,0.00968164298683405,0.036901943385601044,-0.27011927813653236
48,extrinsic,1142048,200,-200.0,1.3037537413474638,0.00040635300683788955,0.006012889789417386,0.01166478544473648,-0.33525001291414
49,extrinsic,1142049,200,-200.0,1.5049365144222975,0.0011709139216691256,0.006459872936829925,0.01968884840607643,-0.33508851520373234
50,extrinsic,1142050,200,-200.0,2.325285785678716,6.755827780580148e-05,0.009014175739139318,0.044909123331308365,-0.23663429321384477
51,extrinsic,1142051,200,-200.0,1.3171780555858277,0.0002678012824617326,0.0060723957139998674,0.016204645857214928,-0.28854460015151523
52,extrinsic,1142052,200,-200.0,1.4264047137221496,6.584017683053389e-06,0.006497009890154004,0.018828248605132103,-0.2909349192116545
53,extrinsic,1142053,200,-200.0,1.4189050591667183,0.00020261769532226026,0.006325822323560715,0.015411368571221828,-0.28154312612692295
54,extrinsic,1142054,200,-200.0,1.2087117448099889,0.0006498419097624719,0.005457819439470768,0.01753901317715645,-0.27116453223703096
55,extrinsic,1142055,200,-200.0,1.0343585789742065,5.5029486247804016e-05,0.00439866166561842,0.014329022727906704,-0.31195049145212705
56,extrinsic,1142056,200,-200.0,0.7607137249406151,4.315643309382722e-06,0.003475146135315299,0.013855676166713238,-0.3488099455382912
57,extrinsic,1142057,200,-200.0,1.0984157808379678,3.1624505936633795e-05,0.0038974983617663383,0.015040537342429161,-0.27848228360087085
58,extrinsic,1142058,200,-200.0,1.8816091363551095,0.0005530462367460132,0.006737531162798405,0.03383264318108559,-0.19704500985422835
59,extrinsic,1142059,200,-200.0,2.152978944388451,0.0003762936976272613,0.009277944918721914,0.04591109976172447,-0.2012424958638071
60,extrinsic,1142060,200,-200.0,0.7792642986896681,9.889151260722429e-05,0.0028497532475739717,0.012715381570160389,-0.28466212507111277
61,extrinsic,1142061,200,-200.0,0.7487369613736519,8.727375097805634e-05,0.003275161376222968,0.014485287480056286,-0.2907976951065813
62,extrinsic,1142062,200,-200.0,0.4243940704036504,0.0005519506521522999,0.0019821327878162265,0.004387957975268364,-0.3567148838085907
63,extrinsic,1142063,200,-200.0,0.7423724044492701,1.712093217065558e-05,0.0030166151700541377,0.013095585629343987,-0.30179632156915465
64,extrinsic,1142064,200,-200.0,1.7853929280063312,3.2554828067077324e-05,0.005333734676241875,0.05680748075246811,-0.23437049453516876
65,extrinsic,1142065,200,-200.0,0.5007217515521916,0.00015605079533997923,0.0019459379836916924,0.012529431842267513,-0.30822223749777455
66,extrinsic,1142066,200,-200.0,1.1116087810769386,3.2519365049665794e-05,0.003224346903152764,0.029143933206796646,-0.23340534173897276
67,extrinsic,1142067,200,-200.0,0.6185727882620995,9.426697943126783e-05,0.0013334201066754758,0.027134660631418228,-0.3779370152916936
68,extrinsic,1142068,200,-200.0,0.4820094391980092,0.00011823682143585756,0.0012309083831496537,0.021359698846936226,-0.31378980779112947
69,extrinsic,1142069,200,-200.0,0.35378651388055005,2.131003020622302e-05,0.000945767795201391,0.009095700457692146,-0.3506019451290192
70,extrinsic,1142070,200,-200.0,0.6226245287398342,1.5785986761329696e-05,0.0014038284425623715,0.02219960279762745,-0.3335078015550959
71,extrinsic,1142071,200,-200.0,0.5861213035532273,6.412398943211883e-05,0.001509122725110501,0.015038063749670982,-0.33201738034868333
72,extrinsic,1142072,200,-200.0,0.8482598498376319,6.476424459833652e-05,0.0029048400465399027,0.02090168185532093,-0.3154353365541261
73,extrinsic,1142073,200,-200.0,0.44496210968645755,0.00014894425112288445,0.0014950109762139618,0.010596795938909054,-0.38665270299974974
74,extrinsic,1142074,200,-200.0,0.9102068307911395,7.894001464592293e-05,0.0025483467616140842,0.0304636862128973,-0.3036104166300955
75,extrinsic,1142075,200,-200.0,0.6463071446123649,6.452410889323801e-05,0.002233180101029575,0.013844174332916737,-0.33204833226752073
76,extrinsic,1142076,200,-200.0,0.8655971967582445,2.2014231944922358e-05,0.002974843722768128,0.018607987090945244,-0.35521251358712597
77,extrinsic,1142077,200,-200.0,0.8291305201637442,3.3508415071992204e-05,0.002654741518199444,0.019443253055214882,-0.4206408078769102
78,extrinsic,1142078,200,-200.0,1.085508222313365,8.482699195155874e-05,0.001595465000718832,0.0313718281686306,-0.41764242405678376
79,extrinsic,1142079,200,-200.0,0.509935728504388,7.98162363935262e-06,0.001421042368747294,0.02304171398282051,-0.3612386227207118
80,extrinsic,1142080,200,-200.0,0.8915430899505736,2.184171898989007e-05,0.003338332986459136,0.019856547936797142,-0.36164820482317783
81,extrinsic,1142081,200,-200.0,1.7395957748613,9.124323696596548e-06,0.00473144231364131,0.048098936676979065,-0.3762612863077023
82,extrinsic,1142082,200,-200.0,0.6356675749293572,7.770109732518904e-06,0.002576843136921525,0.013253952376544476,-0.3508281806947017
83,extrinsic,1142083,200,-200.0,0.8944985664675187,4.8890076868701726e-05,0.0012848922633565962,0.027600863948464394,-0.3904521680500361
84,extrinsic,1142084,200,-200.0,1.7053741546624224,7.914572051959112e-05,0.006176150171086192,0.03872379660606384,-0.4082129520423806
85,extrinsic,1142085,200,-200.0,1.1219373610801995,2.3799117116141133e-05,0.003427564981393516,0.03163482993841171,-0.42894827154746284
86,extrinsic,1142086,200,-200.0,0.905917433941795,0.00010064305388368666,0.0036190387327224016,0.018710367381572723,-0.44206813726082955
87,extrinsic,1142087,200,-200.0,1.0275063114240766,0.000526591029483825,0.004134132526814938,0.0230009276419878,-0.47098771014027974
