episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,intrinsic,53,200,-200.0,108.3654913008213,0.3528918921947479,0.5398937165737152,0.70516037940979,-0.3795525559160351
1,intrinsic,54,200,-200.0,103.11267346143723,0.32429689168930054,0.5130728483200073,0.658745527267456,-0.34276892649999596
2,intrinsic,55,200,-200.0,107.42833524942398,0.38824889063835144,0.544209212064743,0.6092535257339478,-0.4350127691646507
3,intrinsic,56,200,-200.0,104.62336358428001,0.41482266783714294,0.5265820324420929,0.5790860652923584,-0.48375661358854505
4,intrinsic,57,200,-200.0,106.04967376589775,0.4298495054244995,0.5320224165916443,0.5675449967384338,-0.48773566724781453
5,intrinsic,58,200,-200.0,104.68281960487366,0.4015052020549774,0.5256665647029877,0.5611599087715149,-0.4741577729963545
6,intrinsic,59,200,-200.0,103.50697219371796,0.419699102640152,0.5192766785621643,0.5378748178482056,-0.4975939755331244
7,intrinsic,60,200,-200.0,103.48386380076408,0.4262144863605499,0.5174321532249451,0.5958569645881653,-0.41675552997171117
8,intrinsic,61,200,-200.0,100.99615794420242,0.41654330492019653,0.5058132708072662,0.5312700271606445,-0.4929906379276494
9,intrinsic,62,200,-200.0,99.49241527915001,0.38313916325569153,0.4956221580505371,0.5529792308807373,-0.4637630656495112
