episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,intrinsic,124000,200,-200.0,71.50954993069172,0.22598300874233246,0.35593923926353455,0.5399043560028076,-0.384199862053198
1,intrinsic,124001,200,-200.0,75.47804832458496,0.2620713710784912,0.3742385655641556,0.49354198575019836,-0.4378948175163407
2,intrinsic,124002,200,-200.0,74.7770890891552,0.2358691245317459,0.37102900445461273,0.48677992820739746,-0.4108120830151919
3,intrinsic,124003,200,-200.0,76.32189764082432,0.231458380818367,0.3784283399581909,0.5131253004074097,-0.4082380342831357
4,intrinsic,124004,200,-200.0,75.1571738421917,0.2810080647468567,0.3766114264726639,0.4204404354095459,-0.4858924141734071
5,intrinsic,124005,200,-200.0,73.09589663147926,0.281299352645874,0.36194518208503723,0.42669108510017395,-0.4596761978293654
6,intrinsic,124006,200,-200.0,73.60338404774666,0.28846797347068787,0.3693758398294449,0.41963905096054077,-0.4693494220994633
7,intrinsic,124007,200,-200.0,74.40438362956047,0.2223721295595169,0.374318391084671,0.47894972562789917,-0.40349828872351373
8,intrinsic,124008,200,-200.0,71.42824175953865,0.29378822445869446,0.3503907471895218,0.42958492040634155,-0.44268207708446805
9,intrinsic,124009,200,-200.0,71.23765707015991,0.2346646934747696,0.35805049538612366,0.41413775086402893,-0.4573381360734914
10,intrinsic,124010,200,-200.0,60.04217982292175,0.11254873871803284,0.31643012166023254,0.5116292834281921,-0.19171898124433598
11,intrinsic,124011,200,-200.0,71.78792515397072,0.1793554276227951,0.36078575253486633,0.4881349503993988,-0.3885827169911895
12,intrinsic,124012,200,-200.0,68.38591313362122,0.25524985790252686,0.34181781113147736,0.388812392950058,-0.49359565543028894
13,intrinsic,124013,200,-200.0,67.23230482637882,0.24412541091442108,0.3391258120536804,0.36938226222991943,-0.4848525535140428
14,intrinsic,124014,200,-200.0,65.62331040203571,0.20724564790725708,0.33450861275196075,0.39690232276916504,-0.46153652222731323
15,intrinsic,124015,200,-200.0,64.56299301981926,0.21053004264831543,0.32708950340747833,0.36162108182907104,-0.4754054840998097
16,intrinsic,124016,200,-200.0,63.847653061151505,0.13052773475646973,0.3407440185546875,0.4832611680030823,-0.336815333405517
17,intrinsic,124017,200,-200.0,64.58953155577183,0.14912168681621552,0.33606013655662537,0.4534447193145752,-0.3817422040095823
18,intrinsic,124018,200,-200.0,62.1842120885849,0.1252204030752182,0.31783725321292877,0.4794849157333374,-0.34233179616730175
19,intrinsic,124019,200,-200.0,62.73790314793587,0.19414614140987396,0.31520046293735504,0.35609447956085205,-0.47270838499125356
20,intrinsic,124020,200,-200.0,61.21193668246269,0.1905197948217392,0.3050076365470886,0.3448859453201294,-0.48173334110147015
21,intrinsic,124021,200,-200.0,60.58188471198082,0.17696893215179443,0.302945613861084,0.34973838925361633,-0.4726234290840957
22,intrinsic,124022,200,-200.0,59.830603167414665,0.19231578707695007,0.3011835217475891,0.3345279097557068,-0.4695826271403899
23,intrinsic,124023,200,-200.0,56.60832564532757,0.14158573746681213,0.2859632074832916,0.38892823457717896,-0.4249883866065825
24,intrinsic,124024,200,-200.0,59.04673056304455,0.11753696203231812,0.3027190864086151,0.45567792654037476,-0.38062002285077606
25,intrinsic,124025,200,-200.0,58.391838520765305,0.11936911940574646,0.3032287061214447,0.4366954565048218,-0.3902140764177517
26,intrinsic,124026,200,-200.0,55.741910710930824,0.12966188788414001,0.2812104970216751,0.37335050106048584,-0.4171978714485913
27,intrinsic,124027,200,-200.0,55.94532325863838,0.10348594188690186,0.2838548719882965,0.43168625235557556,-0.37503746309983593
28,intrinsic,124028,200,-200.0,52.85718110203743,0.17804084718227386,0.26338067650794983,0.3109132647514343,-0.4661843208554802
29,intrinsic,124029,200,-200.0,52.944944217801094,0.1521182507276535,0.26697057485580444,0.297707200050354,-0.49238140109593753
30,intrinsic,124030,200,-200.0,51.128422260284424,0.1847131848335266,0.2524273544549942,0.2960084080696106,-0.4744666591532348
31,intrinsic,124031,200,-200.0,50.53970721364021,0.12198823690414429,0.25632916390895844,0.31212952733039856,-0.4548086394357519
32,intrinsic,124032,200,-200.0,50.06626682728529,0.06394309550523758,0.26185816526412964,0.4043349623680115,-0.29885253489429237
33,intrinsic,124033,200,-200.0,50.261260852217674,0.081621915102005,0.2591550648212433,0.38568758964538574,-0.37422725167010745
34,intrinsic,124034,200,-200.0,47.67868389189243,0.13254067301750183,0.2398383542895317,0.25877755880355835,-0.5013788126343786
35,intrinsic,124035,200,-200.0,47.069561287760735,0.1354972869157791,0.23884427547454834,0.25820353627204895,-0.4936601761768115
36,intrinsic,124036,200,-200.0,46.56276786327362,0.14449894428253174,0.2359864041209221,0.2724532186985016,-0.4681172332754853
37,intrinsic,124037,200,-200.0,45.22031896561384,0.07085897028446198,0.23520531505346298,0.3789035975933075,-0.3799307753305096
38,intrinsic,124038,200,-200.0,43.67972159385681,0.11423731595277786,0.22006885707378387,0.25069907307624817,-0.49980539459304363
39,intrinsic,124039,200,-200.0,41.77996627986431,0.0942406952381134,0.2122616544365883,0.2514846920967102,-0.4629565083508807
40,intrinsic,124040,200,-200.0,42.48486605286598,0.11661279946565628,0.2135699912905693,0.23196344077587128,-0.49951403099327024
41,intrinsic,124041,200,-200.0,41.125530049204826,0.09662661701440811,0.21252740174531937,0.2611547112464905,-0.4545773823571912
42,intrinsic,124042,200,-200.0,39.54003041237593,0.09044858068227768,0.20132652670145035,0.2377312034368515,-0.4675261470594225
43,intrinsic,124043,200,-200.0,38.77872144430876,0.09714623540639877,0.19752997159957886,0.21441081166267395,-0.4823193052653488
44,intrinsic,124044,200,-200.0,37.54927057027817,0.08899063616991043,0.18669993430376053,0.2345176488161087,-0.45897597849364474
45,intrinsic,124045,200,-200.0,37.6229455024004,0.08021435886621475,0.1940912902355194,0.22680781781673431,-0.480821598847911
46,intrinsic,124046,200,-200.0,37.177988551557064,0.05624692887067795,0.1907622516155243,0.2690010964870453,-0.4149666641418037
47,intrinsic,124047,200,-200.0,33.03680810704827,0.04184703528881073,0.1619642823934555,0.2805904448032379,-0.3736486843879388
48,intrinsic,124048,200,-200.0,34.03576157987118,0.06427808851003647,0.17909426987171173,0.2354487031698227,-0.44429387345890947
49,intrinsic,124049,200,-200.0,33.322731994092464,0.05653999745845795,0.1665954440832138,0.23339888453483582,-0.4204659019419956
50,intrinsic,124050,200,-200.0,32.872950464487076,0.06754671782255173,0.16757671535015106,0.1989382803440094,-0.4658923472327351
51,intrinsic,124051,200,-200.0,31.979969583451748,0.060784805566072464,0.16420327872037888,0.21350571513175964,-0.41678391918974644
52,intrinsic,124052,200,-200.0,30.84984404593706,0.07325364649295807,0.15255683660507202,0.18552589416503906,-0.4771306831367083
53,intrinsic,124053,200,-200.0,29.939982164651155,0.06175154075026512,0.15054820477962494,0.17506133019924164,-0.4928662425778891
54,intrinsic,124054,200,-200.0,29.1244889870286,0.06495164334774017,0.14653581380844116,0.15942852199077606,-0.4920296573613966
55,intrinsic,124055,200,-200.0,28.249270498752594,0.06168706715106964,0.14281833916902542,0.15419358015060425,-0.5018054753865914
56,intrinsic,124056,200,-200.0,27.10227008536458,0.05573570355772972,0.13392870128154755,0.16945184767246246,-0.46378969546783055
57,intrinsic,124057,200,-200.0,27.646507179364562,0.03073487989604473,0.13939547538757324,0.21526870131492615,-0.4076036781161568
58,intrinsic,124058,200,-200.0,26.14215398207307,0.04090135544538498,0.13265231251716614,0.16946862637996674,-0.45696386464210526
59,intrinsic,124059,200,-200.0,25.431573893874884,0.04211079329252243,0.12801528722047806,0.15743087232112885,-0.45759981771499736
60,intrinsic,124060,200,-200.0,24.447514809668064,0.04522164911031723,0.1240614764392376,0.13696251809597015,-0.49605636065470493
61,intrinsic,124061,200,-200.0,23.741699896752834,0.04910222813487053,0.11975110322237015,0.13280071318149567,-0.5011239828600156
62,intrinsic,124062,200,-200.0,23.07626124471426,0.038375694304704666,0.11697350814938545,0.13525390625,-0.4854097718590356
63,intrinsic,124063,200,-200.0,22.44131799787283,0.03384138271212578,0.11595860123634338,0.15233221650123596,-0.46925168385676824
64,intrinsic,124064,200,-200.0,21.375980991870165,0.03413625806570053,0.11236702650785446,0.1378069669008255,-0.4785250228068436
65,intrinsic,124065,200,-200.0,20.897035375237465,0.03542741760611534,0.1060485914349556,0.11216430366039276,-0.500293434181176
66,intrinsic,124066,200,-200.0,20.099258609116077,0.035906702280044556,0.10165149345993996,0.10978163033723831,-0.5016122322651001
67,intrinsic,124067,200,-200.0,19.67890438437462,0.0167790949344635,0.09875265881419182,0.18089693784713745,-0.40063556567596237
68,intrinsic,124068,200,-200.0,18.523393135517836,0.03514648601412773,0.09536075219511986,0.10602542757987976,-0.49353030071989323
69,intrinsic,124069,200,-200.0,18.122573669999838,0.0243719182908535,0.0916731096804142,0.10945373773574829,-0.4726724190576262
70,intrinsic,124070,200,-200.0,17.33032152801752,0.035271838307380676,0.08681732043623924,0.09610074758529663,-0.5014011387295079
71,intrinsic,124071,200,-200.0,16.767554050311446,0.02532433718442917,0.08510556071996689,0.10320174694061279,-0.4777222658432657
72,intrinsic,124072,200,-200.0,16.195690602064133,0.031316693872213364,0.08191987872123718,0.0923992246389389,-0.4965283399747925
73,intrinsic,124073,200,-200.0,15.62111439742148,0.020753029733896255,0.08044129610061646,0.10369587689638138,-0.479256719184051
74,intrinsic,124074,200,-200.0,14.914025431498885,0.024063773453235626,0.07699673250317574,0.09376171231269836,-0.45723368493078764
75,intrinsic,124075,200,-200.0,13.944319481030107,0.016740165650844574,0.0729796402156353,0.09415262192487717,-0.47501675445985125
76,intrinsic,124076,200,-200.0,13.697721278294921,0.022506454959511757,0.06952749937772751,0.07169830054044724,-0.5082514033641912
77,intrinsic,124077,200,-200.0,12.949190732091665,0.017110679298639297,0.06606478244066238,0.09065713733434677,-0.488596712074219
78,intrinsic,124078,200,-200.0,12.686120167374611,0.017759617418050766,0.06444045901298523,0.07082527875900269,-0.5076773034514173
79,intrinsic,124079,200,-200.0,11.778809450566769,0.015767183154821396,0.058682091534137726,0.0782964751124382,-0.4927018249991059
80,intrinsic,124080,200,-200.0,11.650116683915257,0.014856871217489243,0.062137311324477196,0.0792025774717331,-0.5016613852279668
81,intrinsic,124081,200,-200.0,10.928037851117551,0.01455562561750412,0.056597666814923286,0.06779816746711731,-0.5048228702065762
82,intrinsic,124082,200,-200.0,10.503479981794953,0.009812068194150925,0.051928503438830376,0.08326492458581924,-0.45519517357675754
83,intrinsic,124083,200,-200.0,10.127733178436756,0.007977569475769997,0.04932630620896816,0.09392037987709045,-0.4193524480008267
84,intrinsic,124084,200,-200.0,9.624273784458637,0.00829059723764658,0.048417745158076286,0.07255485653877258,-0.44100574937993364
85,intrinsic,124085,200,-200.0,9.229735502041876,0.010552594438195229,0.04711761884391308,0.05916761979460716,-0.4886025579837989
86,intrinsic,124086,200,-200.0,8.630119068548083,0.00729930168017745,0.042551953345537186,0.08232572674751282,-0.40964397316506235
87,intrinsic,124087,200,-200.0,8.201905926689506,0.00968866515904665,0.04200469143688679,0.050902754068374634,-0.5025209376146259
88,intrinsic,124088,200,-200.0,7.617557882331312,0.008721662685275078,0.03805944137275219,0.05108973756432533,-0.48728617354233966
89,intrinsic,124089,200,-200.0,7.260273446328938,0.00730375200510025,0.03664182312786579,0.05336613208055496,-0.47428003919502904
90,intrinsic,124090,200,-200.0,6.996938217431307,0.008328036405146122,0.03558298200368881,0.054195646196603775,-0.5173275434162189
91,intrinsic,124091,200,-200.0,6.622105461545289,0.006777302827686071,0.03500409796833992,0.05006660893559456,-0.4782561905621587
92,intrinsic,124092,200,-200.0,6.577312263194472,0.006187458522617817,0.03128102608025074,0.07146826386451721,-0.4035630591143321
93,intrinsic,124093,200,-200.0,6.19347075978294,0.006504911929368973,0.031778253614902496,0.05922014266252518,-0.42174871122555135
94,intrinsic,124094,200,-200.0,5.585820516105741,0.0061996085569262505,0.028339218348264694,0.03862493112683296,-0.4788213529661723
95,intrinsic,124095,200,-200.0,5.167559212539345,0.005905666388571262,0.027785470709204674,0.0369708351790905,-0.5117715112478409
96,intrinsic,124096,200,-200.0,4.6068181013688445,0.005691115744411945,0.02356034331023693,0.03842475265264511,-0.5055529659171698
97,intrinsic,124097,200,-200.0,4.6457420932129025,0.005471379030495882,0.023110106587409973,0.04025733843445778,-0.45028870100690654
98,intrinsic,124098,200,-200.0,4.002830600365996,0.005001092329621315,0.021327598951756954,0.026369256898760796,-0.4868318674117843
99,intrinsic,124099,200,-200.0,3.8133958312682807,0.004990053363144398,0.01992978435009718,0.024079229682683945,-0.5084328507795723
100,intrinsic,124100,200,-200.0,3.683667697943747,0.003006391227245331,0.018983356654644012,0.031834203749895096,-0.4507543089291438
101,intrinsic,124101,200,-200.0,3.411882783053443,0.0034884249325841665,0.01807346660643816,0.02544926479458809,-0.5060196861258073
102,intrinsic,124102,200,-200.0,2.9602705254219472,0.0019892463460564613,0.015610446222126484,0.02497546374797821,-0.4960649132032477
103,intrinsic,124103,200,-200.0,2.8415745126549155,0.003445602720603347,0.014632178004831076,0.01816459931433201,-0.5116863795206763
