episode,target_reward,episode_seed,episode_length,total_extrinsic_reward,total_intrinsic_reward,min_extrinsic_reward,median_extrinsic_reward,max_extrinsic_reward,max_x
0,extrinsic,1127000,200,-200.0,40.25736773759127,0.12313579767942429,0.1825287640094757,0.35980212688446045,-0.46231199921097405
1,extrinsic,1127001,200,-200.0,39.345074974000454,0.11949977278709412,0.1754435896873474,0.38261309266090393,-0.3920628468959539
2,extrinsic,1127002,200,-200.0,40.22134831547737,0.11731187254190445,0.16814573854207993,0.4740236699581146,-0.26136929818519716
3,extrinsic,1127003,200,-200.0,39.29687041044235,0.11456401646137238,0.16232355684041977,0.5175730586051941,-0.35103736102599764
4,extrinsic,1127004,200,-200.0,39.97766341269016,0.11399608105421066,0.16730768978595734,0.4220663607120514,-0.19815253955640086
5,extrinsic,1127005,200,-200.0,38.5016950070858,0.10967826098203659,0.1799992099404335,0.510625958442688,-0.3295594029211236
6,extrinsic,1127006,200,-200.0,34.16045293956995,0.10997825115919113,0.1519077718257904,0.38592857122421265,-0.3354222756651431
7,extrinsic,1127007,200,-200.0,37.45239198952913,0.10633716732263565,0.17541876435279846,0.3192307651042938,-0.18372298284960661
8,extrinsic,1127008,200,-200.0,33.91490922123194,0.10723507404327393,0.1479714959859848,0.3680837154388428,-0.41095944476664203
9,extrinsic,1127009,200,-200.0,38.591818027198315,0.10296373069286346,0.17743965238332748,0.339431494474411,-0.34096365314865357
10,extrinsic,1127010,200,-200.0,32.84467092901468,0.10380181670188904,0.14637931436300278,0.3549785017967224,-0.284359367138019
11,extrinsic,1127011,200,-200.0,32.67025090008974,0.10481752455234528,0.1490151435136795,0.25622740387916565,-0.33974407275989954
12,extrinsic,1127012,200,-200.0,34.65373154729605,0.10121363401412964,0.14559277892112732,0.3564322590827942,-0.2967444916932749
13,extrinsic,1127013,200,-200.0,39.94167487323284,0.10054032504558563,0.17617900669574738,0.36525729298591614,0.02856936825909155
14,extrinsic,1127014,200,-200.0,36.05203130096197,0.1011217013001442,0.18419917672872543,0.254769891500473,-0.20555398923556864
15,extrinsic,1127015,200,-200.0,34.43550784140825,0.09479725360870361,0.17880212515592575,0.26689958572387695,-0.37333343700598404
16,extrinsic,1127016,200,-200.0,36.03364660590887,0.10041940957307816,0.1617039293050766,0.34033775329589844,0.0029864639418888035
